cycle rbc_center_position[x y z] rbc_velocity[x y z] x_min_vel[x y z] x_max_vel[x y z] y_min_vel[x y z] y_max_vel[x y z] z_min_vel[x y z] z_max_vel[x y z] volume surface 
0 41.5366390464 20.8349685791 22.4676271338 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 86.4064976496 129.503986998
1000 41.8801389107 20.8353964611 22.4674879076 0.00573614325327 2.63135827689e-06 -1.46848669528e-06 0.00583625636716 4.40871706716e-06 -2.56082127922e-07 0.00570132274419 1.02842501227e-05 2.61886849659e-06 0.00573497129503 6.59824357966e-07 3.6751503591e-07 0.00569827313803 2.53576254442e-06 -2.37382221344e-07 0.00587661403268 2.78705389891e-06 -3.60298913182e-06 0.00539786637684 1.85883005581e-06 -5.67523312404e-06 86.4066488225 129.503845738
2000 42.5313564313 20.8355213242 22.4674167914 0.00694980688673 1.76424679172e-07 9.75179026063e-08 0.0070788266687 9.61083892935e-06 -2.72665817267e-06 0.00689094566946 2.14096657966e-05 1.88670713459e-05 0.0069455727291 -3.83083102903e-07 2.83077226966e-06 0.006893352254 -4.00076545613e-06 5.99178531306e-06 0.00714537443378 -2.02043630653e-06 -2.65392071232e-06 0.00652064910886 -6.37942784666e-07 -1.23704900977e-05 86.4059815692 129.466531191
3000 43.2380196423 20.8355055228 22.4674801749 0.00711774355867 -3.12836312129e-07 1.25653879189e-06 0.0072458756186 1.41871472588e-05 -5.6765333196e-06 0.00705135201137 3.13682058784e-05 3.28872603743e-05 0.0071121338398 -1.49249289739e-06 4.60754090676e-06 0.00706324495314 -5.96330502606e-06 1.24885270611e-05 0.00732221341652 -4.12249986015e-06 -2.57697598774e-06 0.00669342362799 9.32006357234e-07 -1.88910250661e-05 86.4045994247 129.43029556
4000 43.9488120632 20.8354608637 22.4676852218 0.00708647657462 -5.11846099235e-07 2.90262696815e-06 0.00711773762249 1.31008362997e-05 -1.91677373324e-05 0.00701718987753 3.69584380778e-05 4.44562851331e-05 0.00707917924468 -3.11267284423e-06 6.7948093296e-06 0.00703538595271 -6.36033011379e-06 1.99730358373e-05 0.00729049180168 -5.50316512039e-06 -1.75901939917e-06 0.00668156684675 3.32497968823e-06 -2.29899651528e-05 86.4030315554 129.404104407
5000 44.654334816 20.8354190199 22.4680628607 0.0070226454844 -3.23545679848e-07 4.66904817849e-06 0.0070487492604 1.34893792825e-05 -2.32596775815e-05 0.00702288236339 3.67598009785e-05 4.69528700002e-05 0.00701324342029 -4.26700396464e-06 8.56173123602e-06 0.00697547876 -4.34251522506e-06 2.70916032101e-05 0.00722462741719 -6.42887156049e-06 -3.88767117504e-07 0.00663499676344 6.73863626796e-06 -2.63498772972e-05 86.4019464142 129.388815724
6000 45.3533009928 20.8353937954 22.4686372458 0.00695718879694 -8.76591865852e-08 6.70963925033e-06 0.00697881757646 1.37675319321e-05 -2.55936444878e-05 0.00695540138269 3.93596642362e-05 5.62736930074e-05 0.00694506977355 -5.51809523118e-06 9.93939521139e-06 0.00691298062562 -1.85594292633e-06 3.3835676219e-05 0.0071570293551 -7.14999776847e-06 1.79292002596e-06 0.00658289001347 1.07090463399e-05 -2.93522412218e-05 86.4009430282 129.38303412
7000 46.0458944665 20.8354000087 22.4694239534 0.00689530879143 2.30405166302e-07 9.07165806331e-06 0.00691282652081 1.43730252877e-05 -2.9155181269e-05 0.00689220061195 4.16555398432e-05 6.62265893839e-05 0.00688050378557 -7.26981833835e-06 1.18909268818e-05 0.00685247056683 1.98730439791e-07 4.10578574785e-05 0.00709320316914 -7.46806503333e-06 4.53800241754e-06 0.00653445448521 1.37789249499e-05 -2.98811148848e-05 86.3996283858 129.385482352
8000 46.7324905068 20.8354470572 22.4704401593 0.00683726245297 6.20305016358e-07 1.13419438918e-05 0.0068512679851 1.41160987803e-05 -3.32141230282e-05 0.00683230283612 4.2034750779e-05 7.16554677327e-05 0.00682016559534 -7.86320811865e-06 1.39913189783e-05 0.00679618284771 2.80719071671e-06 4.78719225718e-05 0.00703333407045 -7.91336804308e-06 7.15072615971e-06 0.0064873573095 1.68066845548e-05 -3.07645177699e-05 86.3985247051 129.395452735
9000 47.413429222 20.8355373365 22.4716973987 0.00678178939108 1.3239657507e-06 1.37295094728e-05 0.00679292905586 1.38503609759e-05 -3.34017681837e-05 0.00677519094386 4.35531187178e-05 7.94414261546e-05 0.00676209599705 -8.34467649976e-06 1.50287340939e-05 0.00674255010851 6.05381488772e-06 5.34024962274e-05 0.00697610441242 -8.04498916517e-06 1.03576762944e-05 0.00644043139269 2.09614175231e-05 -3.15215129071e-05 86.3970352508 129.41123687
