cycle rbc_center_position[x y z] rbc_velocity[x y z] x_min_vel[x y z] x_max_vel[x y z] y_min_vel[x y z] y_max_vel[x y z] z_min_vel[x y z] z_max_vel[x y z] volume surface 
0 94.1040039745 31.856081659 30.9892191806 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 86.4064976496 129.503986998
1000 94.3182015346 31.8543515659 30.990338638 0.00315788819543 7.13014151829e-07 8.32327730348e-07 0.00310698148084 -5.63295663605e-05 1.06042205133e-06 0.00337954107577 2.10796849295e-05 3.19201529794e-05 0.00312482016136 -1.27935774846e-06 -5.11591595947e-06 0.00290404015276 -3.84918668954e-07 6.09945166041e-06 0.00365093791736 -3.82591869911e-06 2.10753861769e-06 0.00239050587048 1.43603041508e-06 -2.01774645644e-07 86.0735481503 129.34724523
2000 94.6656672023 31.854227078 30.9904384226 0.00365073253118 5.33288226518e-07 -4.25359307208e-07 0.0035870675175 -7.74541696712e-05 -5.02893964878e-05 0.00391833544136 5.39925044181e-05 5.5692066047e-05 0.00362198938901 1.05211346891e-06 -1.33919156228e-05 0.00336747652042 -3.3632213864e-06 1.33489797781e-05 0.00422395441446 -1.06121142572e-05 -1.60340313976e-06 0.00278496991026 1.16659624931e-06 -3.81232780069e-07 86.07479764 129.620896713
3000 95.0361650478 31.8540896885 30.9905182714 0.00373611134609 -4.01032741733e-06 5.41542903784e-06 0.0036126432821 2.07907085434e-05 -0.000187841430643 0.0039836135949 6.75257897276e-05 8.0117838615e-05 0.00370393850112 3.0865563207e-06 -1.6568840076e-05 0.00348818550353 3.54279403942e-05 1.06858408755e-05 0.004306292779 -1.39745580126e-05 -2.91533943008e-05 0.0028967342575 -3.63623597725e-06 6.40711835101e-07 86.0700476619 129.928908536
4000 95.4091456065 31.8540210246 30.9906286475 0.00372534822058 -6.97926343989e-07 1.32183951632e-06 0.00368428117537 -9.38604150991e-05 -9.3679608968e-05 0.00395428782564 7.1968158754e-05 8.48907502568e-05 0.00370627967743 5.76162805981e-06 -1.83203469671e-05 0.00349055665111 -9.7799293019e-06 2.37919823806e-05 0.00425180228365 -8.51239396812e-06 -1.62439501915e-06 0.00294904802887 -1.08055548267e-05 3.48026236431e-08 86.0813394364 130.262658526
5000 95.7810581077 31.853788788 30.9908754872 0.00370889001411 -1.11276238937e-06 2.41921527823e-06 0.00368079867462 -9.03876652303e-05 -9.48055534281e-05 0.00391047180924 7.36356427014e-05 9.60573576126e-05 0.0036934437375 7.33225702365e-06 -1.81635271456e-05 0.00349910827219 -1.25335793519e-05 2.62680264755e-05 0.00420412105468 -4.76378994037e-06 -1.84115096287e-07 0.00298416286545 -1.73574203912e-05 -1.50227104988e-06 86.0616953146 130.57666757
6000 96.151292897 31.8535099586 30.9912679374 0.00369205218053 -2.21880963765e-06 3.93171024337e-06 0.00355864667565 -9.15313978506e-05 -0.000124410578472 0.00386554971601 6.98062444038e-05 9.80660844706e-05 0.00368089163957 8.38483731097e-06 -1.87831508692e-05 0.00350178425611 -1.56567865642e-05 2.96036765501e-05 0.00415828965905 -1.17432291739e-06 2.32751775989e-06 0.00301597436263 -2.49063299813e-05 -2.94486866136e-06 86.0243540405 130.887422298
7000 96.5198556919 31.8530785508 30.9918097606 0.00367526412352 -3.7029287339e-06 5.05656298387e-06 0.00356348714655 -9.1450899604e-05 -0.000126354381815 0.00382076382078 6.25967148235e-05 9.94765479692e-05 0.00366737069643 8.18003860709e-06 -1.7565286507e-05 0.00350437523917 -1.90756279707e-05 3.16171449567e-05 0.00411444897117 1.29238686259e-06 3.86988407848e-06 0.00304541466005 -3.27012382428e-05 -4.18747349497e-06 85.9663136943 131.174375672
8000 96.8867926695 31.8526205996 30.9924598553 0.00366142232792 -5.30545432792e-06 6.5196690653e-06 0.00356670175804 -8.63607704511e-05 -0.000126405548141 0.0037850331635 5.90424699502e-05 0.00010546550993 0.00365783991543 7.59990197639e-06 -1.69982170379e-05 0.00350526336963 -2.17174877448e-05 3.36913449377e-05 0.0040760927048 4.04686954175e-06 7.20231725025e-06 0.0030697384235 -3.7282246348e-05 -6.54949840374e-06 85.9017424266 131.456916969
9000 97.2523162551 31.8520086702 30.9932507267 0.00364779050669 -5.91209101166e-06 7.62466926081e-06 0.00357176030343 -8.53742444459e-05 -0.000128837174389 0.0038301270609 8.2647619003e-05 7.50222110802e-05 0.00364772625923 7.79342280427e-06 -1.80382925409e-05 0.00350399843272 -2.38054401806e-05 3.68348414145e-05 0.00403874160242 6.46661676815e-06 1.03193568972e-05 0.00309346187361 -4.13644102606e-05 -8.78012824968e-06 85.8171899399 131.713730039
10000 97.6165043718 31.851353836 30.9942015947 0.00363486994595 -6.89658985284e-06 9.55212015133e-06 0.0035770788503 -8.09942243907e-05 -0.000123194620538 0.00379571522783 7.74933533816e-05 7.83161625015e-05 0.00363791881566 6.87090752686e-06 -1.5467943474e-05 0.0035036128076 -2.57689768812e-05 3.94848243851e-05 0.00400443533921 8.69295874843e-06 1.37654586759e-05 0.00311787044167 -4.62625295447e-05 -9.39695215241e-06 85.7141562435 131.956064591
11000 97.9799991479 31.8502441464 30.9952903372 0.00362139835646 -7.85358915979e-06 1.0118683536e-05 0.0035738874584 -7.39059566758e-05 -0.000119607966586 0.00375441169981 7.16554906906e-05 7.77441598765e-05 0.00363008864585 5.07727910909e-06 -1.58723673286e-05 0.00349947888368 -2.65226463971e-05 4.17053047161e-05 0.00396740740295 1.12902802123e-05 1.58253474756e-05 0.00313762184724 -4.91227171952e-05 -1.26523001598e-05 85.5347663662 132.076466697
12000 98.342084973 31.8492452365 30.9964498313 0.0036118405737 -8.88656002499e-06 1.19563218413e-05 0.00357529824007 -7.52067507956e-05 -0.000118517184648 0.00373180216161 6.36074282097e-05 7.62780692451e-05 0.00362226439584 3.78274057671e-06 -1.56154500663e-05 0.00349747414198 -2.75512450667e-05 4.45042596108e-05 0.0039404005438 1.16587329437e-05 1.9787982271e-05 0.00315388673359 -5.01886009018e-05 -1.33673718911e-05 85.3863184808 132.243009122
