cycle rbc_center_position[x y z] rbc_velocity[x y z] x_min_vel[x y z] x_max_vel[x y z] y_min_vel[x y z] y_max_vel[x y z] z_min_vel[x y z] z_max_vel[x y z] volume surface 
0 10.0791544806 23.9608838376 25.5359484622 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 86.4064976496 129.503986998
1000 10.402975428 23.9600565532 25.5353576107 0.00532503134166 -4.79167901553e-06 -4.3127677327e-06 0.00545897240406 -4.60063712055e-06 -1.30565093929e-07 0.00531912208587 6.19506410115e-06 2.03960256371e-06 0.00550625911179 -4.60515115388e-06 1.40203438672e-06 0.00524408629687 -4.12305881078e-06 -7.00477385826e-06 0.00573743571002 -7.44543015455e-06 -8.73623331638e-06 0.00463395699698 -6.42599189732e-06 -5.46464293547e-07 86.4062586749 129.498227599
2000 11.0045818049 23.9597318868 25.5348947579 0.0064063505006 -2.68994484927e-06 -5.73514860202e-06 0.00657896761879 -6.87446004402e-06 -1.52992293455e-05 0.00639119981187 2.17756476495e-05 2.47732399494e-05 0.00663412544231 -5.99546380549e-07 -2.38755902999e-06 0.00630766740849 -8.77598328349e-07 -5.48989302463e-06 0.00694114115455 -3.35474497145e-06 -9.49008912403e-06 0.0055333249278 -1.06733049862e-05 1.19301846382e-06 86.4029488182 129.479909239
3000 11.6556586126 23.9594030278 25.5341614261 0.00655724911702 -3.89722043413e-06 -9.20804954008e-06 0.00653531356772 -2.07240118706e-05 -4.33870152178e-05 0.00672788459402 2.39095599893e-05 4.00189983334e-05 0.00678316838218 -1.30571833454e-06 -8.51459646128e-06 0.00646302760769 -1.69419703852e-06 -4.21786165937e-06 0.00709884721164 -4.27684832765e-06 -1.40624683681e-05 0.00568564648325 -1.44236905934e-05 -1.63754276714e-06 86.3957969444 129.465800361
4000 12.3106187656 23.9588977813 25.5330568896 0.00653118842052 -5.69969826135e-06 -1.3367836248e-05 0.00650999516195 -2.72618450748e-05 -6.44594160808e-05 0.00669190090535 2.59715930883e-05 5.3864946985e-05 0.00674771464012 -2.35431363785e-06 -1.56097744469e-05 0.00644296945964 -3.6568760465e-06 -2.370904971e-06 0.00705757820781 -6.33499612597e-06 -1.88927174356e-05 0.00569463555478 -1.69207343387e-05 -7.07159229793e-06 86.3840484008 129.457638304
5000 12.9610989907 23.9582042368 25.5315649704 0.00647674189167 -7.85421867704e-06 -1.72510754877e-05 0.00645703210052 -3.08816145138e-05 -7.9281855639e-05 0.00662546621653 2.65321789347e-05 6.74408144564e-05 0.00668456789529 -5.25197244137e-06 -2.4796078715e-05 0.00639332717591 -4.72604549183e-06 1.24348045469e-07 0.00698417766695 -8.08043431982e-06 -2.33437204174e-05 0.00567906170653 -1.87775371859e-05 -1.30995441866e-05 86.3680013209 129.454820352
6000 13.6059607519 23.9573367899 25.5296983993 0.00642050188491 -9.68469829276e-06 -2.10872278103e-05 0.00640179267116 -3.48509193181e-05 -9.42068440572e-05 0.00655893968863 2.73557871523e-05 8.29574777203e-05 0.00662032374727 -8.40642676763e-06 -3.30716999406e-05 0.00633988941166 -6.40336853378e-06 3.89338169179e-06 0.00691030495106 -9.35168786392e-06 -2.79294266056e-05 0.00565907598936 -1.97211743933e-05 -2.07634643466e-05 86.3471296872 129.455826671
7000 14.2453801617 23.9563183065 25.5274394472 0.00636810830967 -1.05501822379e-05 -2.44894701076e-05 0.00635117712117 -3.75159424173e-05 -0.000112659637231 0.00649457079434 2.65360443443e-05 9.09302861621e-05 0.00656105889837 -9.93079215757e-06 -4.02442317897e-05 0.00628875099257 -7.62483846815e-06 6.49404033577e-06 0.00684182393813 -1.10919124815e-05 -3.02431061285e-05 0.00564274439291 -1.92595027172e-05 -2.9025229053e-05 86.321998862 129.460312066
8000 14.8796927828 23.9551913425 25.524824539 0.00631842830236 -1.20343548176e-05 -2.67084642114e-05 0.0063016183603 -4.04779487695e-05 -0.000119363997349 0.00643511340501 2.58056531463e-05 0.000101819493498 0.00650494552185 -1.44975820038e-05 -4.78582032169e-05 0.00624007494044 -6.11419961969e-06 1.21660990145e-05 0.00677793920952 -1.31885860933e-05 -3.45355261418e-05 0.00562309350725 -1.73942179175e-05 -3.85715131774e-05 86.2927486631 129.467214368
9000 15.5091783069 23.9540439459 25.5217973831 0.00627154178307 -1.23220460741e-05 -3.11234021921e-05 0.00625772259034 -4.14625744068e-05 -0.000135811703005 0.00637732332557 2.69379306098e-05 0.000114907963396 0.00645323996693 -1.51541370878e-05 -5.62290662286e-05 0.00619225859602 -7.93720290894e-06 1.40932950197e-05 0.00671577377459 -1.29237990112e-05 -3.67190661875e-05 0.00560929163684 -1.77154893242e-05 -4.85170861481e-05 86.2590107351 129.475046487
